"id","score","timestamp"
"1","5.5","2025-04-10 17:32:50"
"2","5.5","2025-04-10 17:32:50"
"3","5.5","2025-04-10 17:32:52"
"4","5.5","2025-04-10 17:33:06"
"5","5.5","2025-04-10 17:33:09"
"6","5.5","2025-04-10 17:33:11"
"7","5.4","2025-04-10 17:33:13"
"8","5.4","2025-04-10 17:33:15"
"9","5.4","2025-04-10 17:33:17"
"10","5.5","2025-04-10 17:33:19"
"11","5.5","2025-04-10 17:33:21"
"12","5.4","2025-04-10 17:33:23"
"13","5.4","2025-04-10 17:33:25"
"14","5.4","2025-04-10 17:33:27"
"15","5.4","2025-04-10 17:33:29"
"16","5.5","2025-04-10 17:33:31"
"17","5.5","2025-04-10 17:33:33"
"18","5.5","2025-04-10 17:33:35"
"19","5.5","2025-04-10 17:33:37"
"20","5.5","2025-04-10 17:33:39"
"21","5.5","2025-04-10 17:33:41"
"22","5.5","2025-04-10 17:33:43"
"23","5.5","2025-04-10 17:33:45"
"24","5.5","2025-04-10 17:33:47"
"25","5.5","2025-04-10 17:33:49"
"26","5.5","2025-04-10 17:33:51"
"27","5.5","2025-04-10 17:33:53"
"28","5.5","2025-04-10 17:33:55"
"29","5.5","2025-04-10 17:33:57"
"30","5.5","2025-04-10 17:33:59"
"31","5.5","2025-04-10 17:34:01"
"32","5.5","2025-04-10 17:34:03"
"33","5.5","2025-04-10 17:34:05"
"34","5.5","2025-04-10 17:34:07"
"35","5.5","2025-04-10 17:34:10"
"36","5.5","2025-04-10 17:34:45"
"37","5.5","2025-04-10 17:34:46"
"38","5.5","2025-04-10 17:34:48"
"39","5.5","2025-04-10 17:34:50"
"40","5.5","2025-04-10 17:34:52"
"41","6.9","2025-04-10 17:47:52"
"42","6.9","2025-04-10 17:47:54"
"43","6.9","2025-04-10 17:47:56"
"44","6.9","2025-04-10 17:47:58"
"45","6.9","2025-04-10 17:48:00"
"46","6.9","2025-04-10 17:48:02"
"47","6.9","2025-04-10 17:48:04"
"48","6.9","2025-04-10 17:48:06"
